mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,nonlinear,16,free_sulfur_dioxide,0.2,alcohol,0.8387458006718925
MCAR,none,16,free_sulfur_dioxide,0.2,,0.5263578274760383
MAR,basic,16,free_sulfur_dioxide,0.30000000000000004,alcohol,0.7331719128329298
MAR,double_threshold,16,free_sulfur_dioxide,0.30000000000000004,"['alcohol', 'fixed_acidity']",0.8904810644831116
MAR,range_condition,16,free_sulfur_dioxide,0.30000000000000004,alcohol,0.8002336448598131
MAR,nonlinear,16,free_sulfur_dioxide,0.30000000000000004,alcohol,0.8487584650112867
MCAR,none,16,free_sulfur_dioxide,0.30000000000000004,,0.5060532687651331
MAR,basic,16,free_sulfur_dioxide,0.4,alcohol,0.7671480144404332
MAR,double_threshold,16,free_sulfur_dioxide,0.4,"['alcohol', 'fixed_acidity']",0.8954650269023828
MAR,range_condition,16,free_sulfur_dioxide,0.4,alcohol,0.8124452234881683
MAR,nonlinear,16,free_sulfur_dioxide,0.4,alcohol,0.8564946114577425
MCAR,none,16,free_sulfur_dioxide,0.4,,0.5107710891886451
MAR,basic,16,free_sulfur_dioxide,0.5,alcohol,0.7755160550458715
MAR,double_threshold,16,free_sulfur_dioxide,0.5,"['alcohol', 'fixed_acidity']",0.9206060606060606
MAR,range_condition,16,free_sulfur_dioxide,0.5,alcohol,0.8218510786360473
MAR,nonlinear,16,free_sulfur_dioxide,0.5,alcohol,0.8724741805118994
MCAR,none,16,free_sulfur_dioxide,0.5,,0.497283477149249
MAR,basic,16,free_sulfur_dioxide,0.6000000000000001,alcohol,0.7932761087267525
MAR,double_threshold,16,free_sulfur_dioxide,0.6000000000000001,"['alcohol', 'fixed_acidity']",0.929904185577408
MAR,range_condition,16,free_sulfur_dioxide,0.6000000000000001,alcohol,0.8512420566146736
MAR,nonlinear,16,free_sulfur_dioxide,0.6000000000000001,alcohol,0.9018290406868235
MCAR,none,16,free_sulfur_dioxide,0.6000000000000001,,0.5011783189316575
MAR,basic,16,free_sulfur_dioxide,0.7000000000000001,alcohol,0.833843641559502
MAR,double_threshold,16,free_sulfur_dioxide,0.7000000000000001,"['alcohol', 'fixed_acidity']",0.9466207490314249
MAR,range_condition,16,free_sulfur_dioxide,0.7000000000000001,alcohol,0.8838533927686973
MAR,nonlinear,16,free_sulfur_dioxide,0.7000000000000001,alcohol,0.9202551834130781
MCAR,none,16,free_sulfur_dioxide,0.7000000000000001,,0.5006525711302532
MAR,basic,16,free_sulfur_dioxide,0.8,alcohol,0.8692020614892483
MAR,double_threshold,16,free_sulfur_dioxide,0.8,"['alcohol', 'fixed_acidity']",0.9724424311060778
MAR,range_condition,16,free_sulfur_dioxide,0.8,alcohol,0.9093459961148284
MAR,nonlinear,16,free_sulfur_dioxide,0.8,alcohol,0.9449566918133557
MCAR,none,16,free_sulfur_dioxide,0.8,,0.4878335949764521
MAR,basic,16,free_sulfur_dioxide,0.9,alcohol,0.9348659003831418
MAR,double_threshold,16,free_sulfur_dioxide,0.9,"['alcohol', 'fixed_acidity']",0.9859578736208626
MAR,range_condition,16,free_sulfur_dioxide,0.9,alcohol,0.9509860233582232
MAR,nonlinear,16,free_sulfur_dioxide,0.9,alcohol,0.9732474609858806
MCAR,none,16,free_sulfur_dioxide,0.9,,0.5019425019425019
MAR,basic,709,residual_sugar,0.1,chlorides,0.754653130287648
MAR,double_threshold,709,residual_sugar,0.1,"['chlorides', 'fixed_acidity']",0.8853754940711462
